302 evaluations
Parameters
==========

NCORES: 10, 
TIMES: [  0. -10.] Gyr, 
N_ARMS: 2, 
PHI0: 75.0 deg, 
LIFETIME: 0.25 Gyr, 
SIGMA: 0.044642857142857144 Gyr, 
T0_1: -0.45 Gyr, 
T0_2: -0.225 Gyr, 
T0_3: 0.0 Gyr, 
AMP: 0.136 solMass / pc3, 
HSCALE: 1.0 kpc, 
RSCALE: 2.4 kpc, 
ALPHA: 12.0 deg, 
RREF: 8.0 kpc, 
OMEGA: 0.0 km / (kpc s), 
BETA: -0.1, 
R=9.5 kpc, phi=-0.33 rad, t=363 s
R=9.5 kpc, phi=-0.22 rad, t=363 s
R=9.5 kpc, phi=-0.11 rad, t=361 s
R=9.5 kpc, phi=0.0 rad, t=364 s
R=9.5 kpc, phi=0.11 rad, t=368 s
R=9.5 kpc, phi=0.22 rad, t=381 s
R=9.5 kpc, phi=0.33 rad, t=364 s
R=9.5 kpc, phi=0.44 rad, t=362 s
R=9.5 kpc, phi=0.56 rad, t=385 s
R=9.5 kpc, phi=0.67 rad, t=409 s
R=9.5 kpc, phi=0.78 rad, t=406 s
R=9.5 kpc, phi=0.89 rad, t=417 s
R=9.5 kpc, phi=1.0 rad, t=414 s
R=9.5 kpc, phi=1.11 rad, t=401 s
R=9.5 kpc, phi=1.22 rad, t=411 s
R=9.5 kpc, phi=1.33 rad, t=408 s
R=9.5 kpc, phi=1.44 rad, t=395 s
R=9.5 kpc, phi=1.56 rad, t=383 s
R=10.5 kpc, phi=-1.55 rad, t=305 s
R=10.5 kpc, phi=-1.45 rad, t=314 s
R=10.5 kpc, phi=-1.35 rad, t=311 s
R=10.5 kpc, phi=-1.25 rad, t=311 s
R=10.5 kpc, phi=-1.15 rad, t=305 s
R=10.5 kpc, phi=-1.05 rad, t=339 s
R=10.5 kpc, phi=-0.95 rad, t=340 s
R=10.5 kpc, phi=-0.85 rad, t=305 s
R=10.5 kpc, phi=-0.75 rad, t=294 s
R=10.5 kpc, phi=-0.65 rad, t=289 s
R=10.5 kpc, phi=-0.55 rad, t=321 s
R=10.5 kpc, phi=-0.45 rad, t=324 s
R=10.5 kpc, phi=-0.35 rad, t=320 s
R=10.5 kpc, phi=-0.25 rad, t=310 s
R=10.5 kpc, phi=-0.15 rad, t=302 s
R=10.5 kpc, phi=-0.05 rad, t=311 s
R=10.5 kpc, phi=0.05 rad, t=304 s
R=10.5 kpc, phi=0.15 rad, t=295 s
R=10.5 kpc, phi=0.25 rad, t=296 s
R=10.5 kpc, phi=0.35 rad, t=308 s
R=10.5 kpc, phi=0.45 rad, t=308 s
R=10.5 kpc, phi=0.55 rad, t=307 s
R=10.5 kpc, phi=0.65 rad, t=306 s
R=10.5 kpc, phi=0.75 rad, t=319 s
R=10.5 kpc, phi=0.85 rad, t=314 s
R=10.5 kpc, phi=0.95 rad, t=319 s
R=10.5 kpc, phi=1.05 rad, t=319 s
R=10.5 kpc, phi=1.15 rad, t=326 s
R=10.5 kpc, phi=1.25 rad, t=326 s
R=10.5 kpc, phi=1.35 rad, t=331 s
R=10.5 kpc, phi=1.45 rad, t=314 s
R=10.5 kpc, phi=1.55 rad, t=314 s
R=11.5 kpc, phi=-1.55 rad, t=292 s
R=11.5 kpc, phi=-1.45 rad, t=264 s
R=11.5 kpc, phi=-1.36 rad, t=271 s
R=11.5 kpc, phi=-1.27 rad, t=276 s
R=11.5 kpc, phi=-1.18 rad, t=276 s
R=11.5 kpc, phi=-1.09 rad, t=270 s
R=11.5 kpc, phi=-1.0 rad, t=269 s
R=11.5 kpc, phi=-0.91 rad, t=266 s
R=11.5 kpc, phi=-0.82 rad, t=283 s
R=11.5 kpc, phi=-0.73 rad, t=276 s
R=11.5 kpc, phi=-0.64 rad, t=270 s
R=11.5 kpc, phi=-0.55 rad, t=273 s
R=11.5 kpc, phi=-0.45 rad, t=260 s
R=11.5 kpc, phi=-0.36 rad, t=265 s
R=11.5 kpc, phi=-0.27 rad, t=259 s
R=11.5 kpc, phi=-0.18 rad, t=259 s
R=11.5 kpc, phi=-0.09 rad, t=240 s
R=11.5 kpc, phi=0.0 rad, t=244 s
R=11.5 kpc, phi=0.09 rad, t=250 s
R=11.5 kpc, phi=0.18 rad, t=245 s
R=11.5 kpc, phi=0.27 rad, t=238 s
R=11.5 kpc, phi=0.36 rad, t=233 s
R=11.5 kpc, phi=0.45 rad, t=221 s
R=11.5 kpc, phi=0.55 rad, t=224 s
R=11.5 kpc, phi=0.64 rad, t=229 s
R=11.5 kpc, phi=0.73 rad, t=231 s
R=11.5 kpc, phi=0.82 rad, t=248 s
R=11.5 kpc, phi=0.91 rad, t=255 s
R=11.5 kpc, phi=1.0 rad, t=245 s
R=11.5 kpc, phi=1.09 rad, t=264 s
R=11.5 kpc, phi=1.18 rad, t=269 s
R=11.5 kpc, phi=1.27 rad, t=275 s
R=11.5 kpc, phi=1.36 rad, t=275 s
R=11.5 kpc, phi=1.45 rad, t=275 s
R=11.5 kpc, phi=1.55 rad, t=278 s
R=12.5 kpc, phi=-1.54 rad, t=231 s
R=12.5 kpc, phi=-1.46 rad, t=233 s
R=12.5 kpc, phi=-1.38 rad, t=231 s
R=12.5 kpc, phi=-1.29 rad, t=239 s
R=12.5 kpc, phi=-1.21 rad, t=234 s
R=12.5 kpc, phi=-1.12 rad, t=237 s
R=12.5 kpc, phi=-1.04 rad, t=232 s
R=12.5 kpc, phi=-0.96 rad, t=215 s
R=12.5 kpc, phi=-0.88 rad, t=238 s
R=12.5 kpc, phi=-0.79 rad, t=231 s
R=12.5 kpc, phi=-0.71 rad, t=231 s
R=12.5 kpc, phi=-0.62 rad, t=238 s
R=12.5 kpc, phi=-0.54 rad, t=238 s
R=12.5 kpc, phi=-0.46 rad, t=224 s
R=12.5 kpc, phi=-0.38 rad, t=214 s
R=12.5 kpc, phi=-0.29 rad, t=210 s
R=12.5 kpc, phi=-0.21 rad, t=206 s
R=12.5 kpc, phi=-0.12 rad, t=206 s
R=12.5 kpc, phi=-0.04 rad, t=202 s
R=12.5 kpc, phi=0.04 rad, t=207 s
R=12.5 kpc, phi=0.12 rad, t=199 s
R=12.5 kpc, phi=0.21 rad, t=209 s
R=12.5 kpc, phi=0.29 rad, t=201 s
R=12.5 kpc, phi=0.38 rad, t=194 s
R=12.5 kpc, phi=0.46 rad, t=201 s
R=12.5 kpc, phi=0.54 rad, t=200 s
R=12.5 kpc, phi=0.62 rad, t=206 s
R=12.5 kpc, phi=0.71 rad, t=194 s
R=12.5 kpc, phi=0.79 rad, t=198 s
R=12.5 kpc, phi=0.88 rad, t=201 s
R=12.5 kpc, phi=0.96 rad, t=204 s
R=12.5 kpc, phi=1.04 rad, t=216 s
R=12.5 kpc, phi=1.12 rad, t=233 s
R=12.5 kpc, phi=1.21 rad, t=206 s
R=12.5 kpc, phi=1.29 rad, t=217 s
R=12.5 kpc, phi=1.38 rad, t=213 s
R=12.5 kpc, phi=1.46 rad, t=233 s
R=12.5 kpc, phi=1.54 rad, t=236 s
R=13.5 kpc, phi=-1.54 rad, t=197 s
R=13.5 kpc, phi=-1.46 rad, t=205 s
R=13.5 kpc, phi=-1.38 rad, t=204 s
R=13.5 kpc, phi=-1.31 rad, t=202 s
R=13.5 kpc, phi=-1.23 rad, t=203 s
R=13.5 kpc, phi=-1.15 rad, t=203 s
R=13.5 kpc, phi=-1.08 rad, t=200 s
R=13.5 kpc, phi=-1.0 rad, t=205 s
R=13.5 kpc, phi=-0.92 rad, t=196 s
R=13.5 kpc, phi=-0.85 rad, t=196 s
R=13.5 kpc, phi=-0.77 rad, t=193 s
R=13.5 kpc, phi=-0.69 rad, t=194 s
R=13.5 kpc, phi=-0.62 rad, t=192 s
R=13.5 kpc, phi=-0.54 rad, t=191 s
R=13.5 kpc, phi=-0.46 rad, t=188 s
R=13.5 kpc, phi=-0.38 rad, t=180 s
R=13.5 kpc, phi=-0.31 rad, t=181 s
R=13.5 kpc, phi=-0.23 rad, t=184 s
R=13.5 kpc, phi=-0.15 rad, t=175 s
R=13.5 kpc, phi=-0.08 rad, t=178 s
R=13.5 kpc, phi=0.0 rad, t=183 s
R=13.5 kpc, phi=0.08 rad, t=178 s
R=13.5 kpc, phi=0.15 rad, t=178 s
R=13.5 kpc, phi=0.23 rad, t=180 s
R=13.5 kpc, phi=0.31 rad, t=177 s
R=13.5 kpc, phi=0.38 rad, t=177 s
R=13.5 kpc, phi=0.46 rad, t=172 s
R=13.5 kpc, phi=0.54 rad, t=176 s
R=13.5 kpc, phi=0.62 rad, t=179 s
R=13.5 kpc, phi=0.69 rad, t=180 s
R=13.5 kpc, phi=0.77 rad, t=179 s
R=13.5 kpc, phi=0.85 rad, t=182 s
R=13.5 kpc, phi=0.92 rad, t=182 s
R=13.5 kpc, phi=1.0 rad, t=181 s
R=13.5 kpc, phi=1.08 rad, t=191 s
R=13.5 kpc, phi=1.15 rad, t=197 s
R=13.5 kpc, phi=1.23 rad, t=195 s
R=13.5 kpc, phi=1.31 rad, t=195 s
R=13.5 kpc, phi=1.38 rad, t=203 s
R=13.5 kpc, phi=1.46 rad, t=202 s
R=13.5 kpc, phi=1.54 rad, t=199 s
R=14.5 kpc, phi=-1.54 rad, t=163 s
R=14.5 kpc, phi=-1.46 rad, t=166 s
R=14.5 kpc, phi=-1.39 rad, t=164 s
R=14.5 kpc, phi=-1.32 rad, t=162 s
R=14.5 kpc, phi=-1.25 rad, t=166 s
R=14.5 kpc, phi=-1.18 rad, t=161 s
R=14.5 kpc, phi=-1.11 rad, t=158 s
R=14.5 kpc, phi=-1.04 rad, t=158 s
R=14.5 kpc, phi=-0.96 rad, t=158 s
R=14.5 kpc, phi=-0.89 rad, t=160 s
R=14.5 kpc, phi=-0.82 rad, t=155 s
R=14.5 kpc, phi=-0.75 rad, t=150 s
R=14.5 kpc, phi=-0.68 rad, t=154 s
R=14.5 kpc, phi=-0.61 rad, t=152 s
R=14.5 kpc, phi=-0.54 rad, t=156 s
R=14.5 kpc, phi=-0.46 rad, t=153 s
R=14.5 kpc, phi=-0.39 rad, t=154 s
R=14.5 kpc, phi=-0.32 rad, t=152 s
R=14.5 kpc, phi=-0.25 rad, t=153 s
R=14.5 kpc, phi=-0.18 rad, t=154 s
R=14.5 kpc, phi=-0.11 rad, t=152 s
R=14.5 kpc, phi=-0.04 rad, t=153 s
R=14.5 kpc, phi=0.04 rad, t=155 s
R=14.5 kpc, phi=0.11 rad, t=157 s
R=14.5 kpc, phi=0.18 rad, t=158 s
R=14.5 kpc, phi=0.25 rad, t=156 s
R=14.5 kpc, phi=0.32 rad, t=155 s
R=14.5 kpc, phi=0.39 rad, t=157 s
R=14.5 kpc, phi=0.46 rad, t=157 s
R=14.5 kpc, phi=0.54 rad, t=157 s
R=14.5 kpc, phi=0.61 rad, t=159 s
R=14.5 kpc, phi=0.68 rad, t=158 s
R=14.5 kpc, phi=0.75 rad, t=157 s
R=14.5 kpc, phi=0.82 rad, t=157 s
R=14.5 kpc, phi=0.89 rad, t=162 s
R=14.5 kpc, phi=0.96 rad, t=158 s
R=14.5 kpc, phi=1.04 rad, t=157 s
R=14.5 kpc, phi=1.11 rad, t=159 s
R=14.5 kpc, phi=1.18 rad, t=156 s
R=14.5 kpc, phi=1.25 rad, t=156 s
R=14.5 kpc, phi=1.32 rad, t=156 s
R=14.5 kpc, phi=1.39 rad, t=164 s
R=14.5 kpc, phi=1.46 rad, t=163 s
R=14.5 kpc, phi=1.54 rad, t=161 s

19925 s total
